id,hominus,mindhr,htype,species_id,literature_id,id-2,iupac,formula,trivial,casrn,inchikey,subcat_id
1,1.2E-5,1700,L,1,729,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
2,1.3E-5,1500,L,1,603,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
3,1.3E-5,1500,L,1,602,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
4,1.3E-5,1400,L,1,239,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
5,1.3E-5,1500,L,1,57,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
6,1.3E-5,1500,L,1,744,1,oxygen,O2,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1
15,1.0E-4,2800,L,2,603,2,ozone,O3,,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,1
16,1.0E-4,2800,L,2,602,2,ozone,O3,,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,1
17,1.1E-4,2400,L,2,725,2,ozone,O3,,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,1
18,1.3E-4,2000,L,2,744,2,ozone,O3,,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,1
31,7.8E-6,530,L,4,239,4,hydrogen,H2,,1333-74-0,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2
32,7.7E-6,490,L,4,744,4,hydrogen,H2,,1333-74-0,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2
57,9.1E-2,6600,L,8,729,8,hydrogen peroxide,H2O2,,7722-84-1,MHAJPDPJQMAIIY-UHFFFAOYSA-N,2
58,8.3E-2,7600,L,8,603,8,hydrogen peroxide,H2O2,,7722-84-1,MHAJPDPJQMAIIY-UHFFFAOYSA-N,2
59,7.6E-2,7300,L,8,602,8,hydrogen peroxide,H2O2,,7722-84-1,MHAJPDPJQMAIIY-UHFFFAOYSA-N,2
60,9.8E-2,6100,L,8,247,8,hydrogen peroxide,H2O2,,7722-84-1,MHAJPDPJQMAIIY-UHFFFAOYSA-N,2
74,6.4E-6,1600,L,9,729,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
75,6.4E-6,1300,L,9,603,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
76,6.4E-6,1300,L,9,602,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
77,6.5E-6,1200,L,9,239,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
78,6.5E-6,1200,L,9,58,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
79,6.4E-6,1300,L,9,744,9,nitrogen,N2,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3
85,5.9E-1,4200,L,10,603,10,ammonia,NH3,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3
86,5.9E-1,4200,L,10,602,10,ammonia,NH3,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3
87,5.8E-1,4400,L,10,777,10,ammonia,NH3,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3
88,6.0E-1,4200,L,10,216,10,ammonia,NH3,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3
89,1.0E-1,1500,L,10,744,10,ammonia,NH3,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3
103,1.2E-1,3800,L,11,603,11,hydrazoic acid,HN3,,7782-79-8,JUINSXZKUKVTMD-UHFFFAOYSA-N,3
104,9.8E-2,3100,L,11,744,11,hydrazoic acid,HN3,,7782-79-8,JUINSXZKUKVTMD-UHFFFAOYSA-N,3
108,2.4E-4,2700,L,13,729,13,dinitrogen monoxide,N2O,nitrous oxide; laughing gas,10024-97-2,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3
109,2.4E-4,2600,L,13,603,13,dinitrogen monoxide,N2O,nitrous oxide; laughing gas,10024-97-2,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3
110,2.4E-4,2600,L,13,602,13,dinitrogen monoxide,N2O,nitrous oxide; laughing gas,10024-97-2,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3
111,2.4E-4,2600,L,13,744,13,dinitrogen monoxide,N2O,nitrous oxide; laughing gas,10024-97-2,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3
122,1.9E-5,1600,L,14,729,14,nitrogen monoxide,NO,nitric oxide,10102-43-9,MWUXSHHQAYIFBG-UHFFFAOYSA-N,3
123,1.9E-5,1600,L,14,603,14,nitrogen monoxide,NO,nitric oxide,10102-43-9,MWUXSHHQAYIFBG-UHFFFAOYSA-N,3
124,1.9E-5,1600,L,14,602,14,nitrogen monoxide,NO,nitric oxide,10102-43-9,MWUXSHHQAYIFBG-UHFFFAOYSA-N,3
125,1.9E-5,1500,L,14,631,14,nitrogen monoxide,NO,nitric oxide,10102-43-9,MWUXSHHQAYIFBG-UHFFFAOYSA-N,3
140,1.2E-4,2400,L,15,603,15,nitrogen dioxide,NO2,,10102-44-0,JCXJVPUVTGWSNB-UHFFFAOYSA-N,3
170,4.8E-1,4800,L,21,631,21,nitrous acid,HNO2,,7782-77-6,IOVCWXUNBOPUCH-UHFFFAOYSA-N,3
188,3.9E-1,8400,L,23,440,23,pernitric acid,HNO4,,26404-66-0,UUZZMWZGAZGXSF-UHFFFAOYSA-N,3
199,7.9E-6,1900,L,27,603,27,nitrogen trifluoride,NF3,,7783-54-2,GVGCUCJTUSOZKP-UHFFFAOYSA-N,4
200,7.9E-6,1900,L,27,744,27,nitrogen trifluoride,NF3,,7783-54-2,GVGCUCJTUSOZKP-UHFFFAOYSA-N,4
202,8.4E-6,2500,L,28,603,28,dinitrogen tetrafluoride,N2F4,tetrafluorohydrazine,10036-47-2,GFADZIUESKAXAK-UHFFFAOYSA-N,4
